Publisher,Title,Genre,Console,USSales,YearReleased,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
"Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Metal Gear Ac!d 2,Strategy,Sony PSP,0.12,2005,0,0,12.95,80,1,1,1,0,1,0,0,0
"Majesco Sales, Inc., Majesco Europe Ltd.",ATV Quad Frenzy,"Racing / Driving, Sports",Nintendo DS,0.11,2005,0,0,14.95,35,1,1,0,0,1,0,0,0
"Hudson Soft Company, Ltd., Ubisoft Entertainment SA, Ubisoft, Inc.",Bomberman,Strategy,Nintendo DS,0.11,2005,1,0,17.95,75,1,1,0,0,1,0,0,1
"Electronic Arts, Inc.",GoldenEye: Rogue Agent,Action,Nintendo DS,0.11,2005,1,0,14.95,58,1,1,0,1,1,0,0,1
"Electronic Arts, Inc.",Need for Speed Underground 2,Racing / Driving,Nintendo DS,0.11,2005,1,0,22.95,65,1,1,0,1,1,0,0,1
"Electronic Arts, Inc.",FIFA Soccer 06,Sports,Sony PSP,0.11,2005,1,0,16.95,77,1,1,1,1,1,0,0,1
"Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Frogger: Helmet Chaos,Action,Sony PSP,0.11,2005,1,0,19.95,66,1,1,0,0,1,0,0,1
"Electronic Arts, Inc.",The Lord of the Rings: Tactics,"Role-Playing (RPG), Strategy",Sony PSP,0.11,2005,0,0,19.95,64,1,1,1,1,1,0,0,0
"Konami of Europe GmbH, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Rengoku: The Tower of Purgatory,"Action, Role-Playing (RPG)",Sony PSP,0.11,2005,0,0,12.95,43,1,1,1,0,1,0,0,0
"Sony Computer Entertainment America, Inc.",Gretzky NHL,Sports,Sony PSP,0.1,2005,0,0,9.95,61,1,2,0,1,1,0,0,0
"Electronic Arts UK Ltd., Namco Europe Limited, Namco Hometek Inc., Namco Limited",Ridge Racer 6,Racing / Driving,X360,0.1,2005,1,0,14.95,74,0,2,1,0,0,0,0,0
"Destination Software, Inc.",Ford Racing 3,"Action, Racing / Driving",Nintendo DS,0.1,2005,1,0,14.95,49,1,1,0,1,1,0,0,1
"Sony Computer Entertainment America, Inc.",World Tour Soccer,Sports,Sony PSP,0.1,2005,0,0,12.95,70,1,1,1,1,1,0,0,0
2K Sports,NHL 2K6 ,Sports,X360,0.1,2005,1,0,5.95,75,0,1,0,0,0,0,0,1
"505 GameStreet, Majesco Entertainment Company",Bust-a-Move DS,"Action, Strategy",Nintendo DS,0.09,2005,0,1,17.95,75,1,1,0,0,1,0,0,0
"Ubisoft Entertainment SA, Ubisoft, Inc.",Battles of Prince of Persia,Strategy,Nintendo DS,0.09,2005,1,0,14.95,64,1,1,0,0,1,0,0,0
"Destination Software, Inc.",Snood 2: On Vacation,"Action, Strategy",Nintendo DS,0.09,2005,1,0,11.95,46,1,1,0,0,1,0,0,0
"Platform Publishing, Red Mile Entertainment, Inc., Ubisoft Entertainment SA",GripShift,Racing / Driving,Sony PSP,0.09,2005,0,0,9.95,70,1,1,1,0,1,0,0,0
"Electronic Arts, Inc.",Marvel Nemesis: Rise of the Imperfects ,Action,Nintendo DS,0.08,2005,0,0,14.95,34,1,1,0,1,1,0,0,1
"THQ France, THQ Inc.",Scooby-Doo! Unmasked,Action,Nintendo DS,0.08,2005,0,0,17.95,60,1,1,0,1,1,0,0,1
"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Viewtiful Joe: Double Trouble!,Action,Nintendo DS,0.08,2005,1,0,14.95,73,1,1,0,0,1,0,0,0
"Platform Publishing, Ubisoft Entertainment SA",Frantix,Action,Sony PSP,0.08,2005,0,0,12.95,59,1,1,0,0,1,0,0,0
"Bandai Co., Ltd., Bandai Games Inc.",The Legend of Heroes: A Tear of Vermillion,Role-Playing (RPG),Sony PSP,0.08,2005,0,0,17.95,68,1,1,0,0,1,0,0,0
"D3Publisher of America, Inc., D3Publisher of Europe Ltd., Now Production Co., Ltd.",PQ: Practical Intelligence Quotient,Strategy,Sony PSP,0.08,2005,0,0,14.95,69,1,1,0,0,1,0,0,0
"Konami Digital Entertainment Co., Ltd., Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Lost in Blue,Role-Playing (RPG),Nintendo DS,0.07,2005,0,0,24.95,69,1,1,0,0,1,0,0,0
"Bandai Games Inc., Bandai S.A., Sony Computer Entertainment Incorporated",Ghost in the Shell: Stand Alone Complex,Action,Sony PSP,0.07,2005,0,0,14.95,61,1,1,1,1,1,0,0,0
"Activision Value Publishing, Inc., Deep Silver",The Hustle: Detroit Streets,Sports,Sony PSP,0.07,2005,0,0,7.95,51,1,1,1,0,1,0,0,1
